"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","diff","ofs"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313913",900.0,"KG","E012210CHG00000563","2022-10-20 15:33:45",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000558","2022-10-20 13:22:02",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50268",650.0,"KG","E012210CHG00000557","2022-10-20 12:41:30",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V22030103AB50329",650.0,"KG","E012210CHG00000552","2022-10-20 08:40:50","RVMAX0862000013","2022-10-20 11:12:05",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313922",900.0,"KG","E012210CHG00000551","2022-10-19 21:50:36","RSEBS0000000142","2022-10-20 08:38:29",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5030",650.0,"KG","E012210CHG00000550","2022-10-19 21:50:28","RVMAX0862000013","2022-10-20 03:21:21","2022-10-20 11:11:55",470,"OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313924",900.0,"KG","E012210CHG00000549","2022-10-19 21:39:29","RSEBS0000000142","2022-10-19 23:42:48","2022-10-20 08:37:29",534,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220918-01",755.0,"KG","E012210CHG00000540","2022-10-19 17:44:14","R00000000000001","2022-10-20 01:33:29","2022-10-20 10:29:48",536,"OFF-E0122/00383,OFF-E0122/00387"
"Reciclado Elastictek","R00000000000001","20220917-03",784.0,"KG","E012210CHG00000539","2022-10-19 17:43:56",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5023",650.0,"KG","E012210CHG00000538","2022-10-19 17:30:56","RVMAX0862000013","2022-10-19 21:08:20","2022-10-20 03:20:17",371,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000525","2022-10-19 17:02:31","RMWH00000000117","2022-10-20 15:35:20",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231613",900.0,"KG","E012210CHG00000520","2022-10-19 13:17:11","RSEBS0000000142","2022-10-19 14:23:50","2022-10-19 23:41:02",557,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB501",650.0,"KG","E012210CHG00000519","2022-10-19 11:17:05","RVMAX0862000013","2022-10-19 12:27:12","2022-10-19 21:06:47",519,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50135",650.0,"KG","E012210CHG00000518","2022-10-18 22:39:23","RVMAX0863000012","2022-10-19 10:36:58",NULL,NULL,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5031",650.0,"KG","E012210CHG00000517","2022-10-18 22:26:52","RVMAX0862000013","2022-10-19 05:56:08","2022-10-19 12:26:51",390,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313911",900.0,"KG","E012210CHG00000516","2022-10-18 22:26:09","RSEBS0000000142","2022-10-19 06:07:17","2022-10-19 14:23:21",496,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231619",900.0,"KG","E012210CHG00000512","2022-10-18 20:16:30","RSEBS0000000142","2022-10-18 22:13:03","2022-10-19 06:06:59",473,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5054",650.0,"KG","E012210CHG00000511","2022-10-18 19:48:00","RVMAX0862000013","2022-10-18 22:36:25","2022-10-19 05:55:47",439,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"ADT AOX L075","RAAOX0000000080","A220570",75.0,"KG","E012210CHG00000510","2022-10-18 17:58:42",NULL,NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012210CHG00000509","2022-10-18 17:58:30",NULL,NULL,NULL,NULL,NULL
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313917",900.0,"KG","E012210CHG00000500","2022-10-18 12:37:04","RSEBS0000000142","2022-10-18 13:57:07","2022-10-18 22:12:35",495,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5026",650.0,"KG","E012210CHG00000499","2022-10-18 12:30:17","RVMAX0862000013","2022-10-18 14:02:15","2022-10-18 22:13:27",491,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220919-01",758.0,"KG","E012210CHG00000490","2022-10-18 09:21:52","R00000000000001","2022-10-20 10:36:53",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"Reciclado Elastictek","R00000000000001","20220915-02",733.0,"KG","E012210CHG00000489","2022-10-18 09:21:21","R00000000000001","2022-10-19 09:38:25","2022-10-20 01:32:30",954,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313912",900.0,"KG","E012210CHG00000488","2022-10-17 22:48:38","RSEBS0000000142","2022-10-18 06:30:59","2022-10-18 13:56:35",445,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50106",650.0,"KG","E012210CHG00000481","2022-10-17 22:20:03","RVMAX0862000013","2022-10-18 00:34:32","2022-10-18 06:39:47",365,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50155",650.0,"KG","E012210CHG00000480","2022-10-17 22:19:05","RVMAX0862000013","2022-10-18 06:40:02","2022-10-18 13:59:36",439,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50184",650.0,"KG","E012210CHG00000479","2022-10-17 22:18:07","RVMAX0863000012","2022-10-18 00:34:00","2022-10-19 10:36:37",2042,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",400.0,"KG","E012210CHG00000467","2022-10-17 07:45:23","RMWH00000000117","2022-10-19 04:34:02","2022-10-20 15:34:54",2100,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220920-01",746.0,"KG","E012210CHG00000466","2022-10-17 07:24:33","R00000000000001","2022-10-18 17:37:06","2022-10-19 09:38:11",961,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220918-02",785.0,"KG","E012210CHG00000465","2022-10-17 07:24:14","R00000000000001","2022-10-18 07:29:34","2022-10-18 17:36:52",607,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220919-02",822.0,"KG","E012210CHG00000464","2022-10-17 07:21:32","R00000000000001","2022-10-17 08:29:52","2022-10-18 07:29:22",1379,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB506",650.0,"KG","E012210CHG00000463","2022-10-16 22:09:50","RVMAX0862000013","2022-10-17 03:30:58","2022-10-17 17:42:22",851,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB5020",650.0,"KG","E012210CHG00000462","2022-10-16 22:09:41","RVMAX0862000013","2022-10-17 17:42:45","2022-10-18 00:34:19",411,"OFF-E0122/00386"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231612",900.0,"KG","E012210CHG00000461","2022-10-16 22:09:32","RSEBS0000000142","2022-10-17 04:27:17","2022-10-17 19:45:37",918,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313914",900.0,"KG","E012210CHG00000460","2022-10-16 22:09:24","RSEBS0000000142","2022-10-17 19:45:49","2022-10-18 06:29:14",643,"OFF-E0122/00386"
"Reciclado Elastictek","R00000000000001","20220920-02",784.0,"KG","E012210CHG00000459","2022-10-16 21:49:47","R00000000000001","2022-10-17 07:10:48","2022-10-17 08:22:04",71,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50139",650.0,"KG","E012210CHG00000458","2022-10-16 21:44:32","RVMAX0863000012","2022-10-17 00:09:53","2022-10-18 00:33:42",1463,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313915",900.0,"KG","E012210CHG00000448","2022-10-16 18:20:08","RSEBS0000000142","2022-10-16 21:46:24","2022-10-17 04:26:56",400,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB501",650.0,"KG","E012210CHG00000447","2022-10-16 18:01:40","RVMAX0862000013","2022-10-16 21:47:30","2022-10-17 03:30:35",343,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"ADT AOX L075","RAAOX0000000080","A220570",75.0,"KG","E012210CHG00000445","2022-10-16 07:40:48","RAAOX0000000080","2022-10-18 15:13:45","2022-10-20 16:00:18",2926,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Process Aid ADT AP L068","RAPRA0000000078","A221166",75.0,"KG","E012210CHG00000444","2022-10-16 07:40:34","RAPRA0000000078","2022-10-18 15:12:58","2022-10-20 16:00:07",2927,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220915-01",769.0,"KG","E012210CHG00000435","2022-10-15 22:48:46","R00000000000001","2022-10-16 11:10:59","2022-10-17 06:48:47",1177,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21112902AB50141",650.0,"KG","E012210CHG00000433","2022-10-15 22:36:32","RVMAX0862000013","2022-10-16 14:40:32","2022-10-16 21:46:37",426,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V22050403AB50278",650.0,"KG","E012210CHG00000432","2022-10-15 22:36:22","RVMAX0862000013","2022-10-16 04:43:28","2022-10-16 14:40:13",596,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231618",900.0,"KG","E012210CHG00000431","2022-10-15 22:36:14","RSEBS0000000142","2022-10-16 11:11:44","2022-10-16 21:45:27",633,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231396",900.0,"KG","E012210CHG00000430","2022-10-15 22:36:05","RSEBS0000000142","2022-10-16 02:48:34","2022-10-16 11:11:15",502,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V22050403AB50284",650.0,"KG","E012210CHG00000424","2022-10-15 18:30:34","RVMAX0862000013","2022-10-15 21:31:06","2022-10-16 04:43:08",432,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50144",650.0,"KG","E012210CHG00000423","2022-10-15 14:23:44","RVMAX0863000012","2022-10-15 23:08:37","2022-10-17 00:08:13",1499,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000422","2022-10-15 14:15:59","RMWH00000000117","2022-10-17 02:14:31","2022-10-19 04:33:40",3019,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220914-02",730.0,"KG","E012210CHG00000416","2022-10-15 11:05:45","R00000000000001","2022-10-15 20:57:47","2022-10-16 11:10:31",852,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50254",650.0,"KG","E012210CHG00000413","2022-10-14 22:23:59","RVMAX0862000013","2022-10-15 15:12:58","2022-10-15 21:30:48",377,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50165",650.0,"KG","E012210CHG00000412","2022-10-14 22:23:51","RVMAX0862000013","2022-10-15 04:53:35","2022-10-15 15:08:46",615,"OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231616",900.0,"KG","E012210CHG00000411","2022-10-14 22:23:42","RSEBS0000000142","2022-10-15 04:53:15","2022-10-15 15:59:07",665,"OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22316111",900.0,"KG","E012210CHG00000410","2022-10-14 22:23:34","RSEBS0000000142","2022-10-15 15:59:36","2022-10-16 02:48:18",648,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Reciclado Elastictek","R00000000000001","20220917-02",782.0,"KG","E012210CHG00000407","2022-10-14 22:22:56","R00000000000001","2022-10-15 04:00:40","2022-10-15 20:57:07",1016,"OFF-E0122/00385"
"Reciclado Elastictek","R00000000000001","20220913-02",751.0,"KG","E012210CHG00000406","2022-10-14 22:22:36",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50151",650.0,"KG","E012210CHG00000393","2022-10-14 16:56:10","RVMAX0862000013","2022-10-14 19:32:25","2022-10-15 04:51:03",558,"OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231617",900.0,"KG","E012210CHG00000392","2022-10-14 16:50:18","RSEBS0000000142","2022-10-14 17:58:44","2022-10-15 04:51:16",652,"OFF-E0122/00385"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50309",650.0,"KG","E012210CHG00000391","2022-10-14 16:43:29","RVMAX0863000012","2022-10-14 17:54:34","2022-10-15 23:08:18",1753,"OFF-E0122/00385"
"Reciclado Elastictek","R00000000000001","20220917-01",729.0,"KG","E012210CHG00000390","2022-10-13 22:14:51","R00000000000001","2022-10-14 06:46:57","2022-10-14 15:35:07",528,"OFF-E0122/00385"
"Reciclado Elastictek","R00000000000001","20220916-02",763.0,"KG","E012210CHG00000389","2022-10-13 22:13:32","R00000000000001","2022-10-14 15:36:58","2022-10-15 04:00:26",743,"OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313916",900.0,"KG","E012210CHG00000388","2022-10-13 22:13:07","RSEBS0000000142","2022-10-14 11:21:45","2022-10-14 17:58:11",396,"OFF-E0122/00385"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21112902AB5050",650.0,"KG","E012210CHG00000387","2022-10-13 22:12:58","RVMAX0862000013","2022-10-14 12:40:56","2022-10-14 19:30:13",409,"OFF-E0122/00385"
"Vistamaxx 6102","RVMAX0862000013","VM6102V22050403AB50306",650.0,"KG","E012210CHG00000386","2022-10-13 22:12:49","RVMAX0862000013","2022-10-14 06:10:21","2022-10-14 12:40:20",389,"OFF-E0122/00385"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22316112",900.0,"KG","E012210CHG00000385","2022-10-13 22:05:10","RSEBS0000000142","2022-10-14 01:52:35","2022-10-14 11:21:16",568,"OFF-E0122/00385"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000384","2022-10-13 21:56:51","RPP620900000035","2022-10-20 10:03:30",NULL,NULL,"OFF-E0122/00383,OFF-E0122/00387"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000376","2022-10-13 20:48:45","RMWH00000000117","2022-10-15 15:11:26","2022-10-17 02:13:34",2102,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012210CHG00000375","2022-10-13 20:40:00","RAAOX0000000138","2022-10-16 07:51:13","2022-10-18 15:00:44",3309,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012210CHG00000374","2022-10-13 20:39:42","RAPPA0000000137","2022-10-16 07:50:32","2022-10-18 15:00:34",3310,"OFF-E0122/00382,OFF-E0122/00381,OFF-E0122/00380,OFF-E0122/00379"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50217",650.0,"KG","E012210CHG00000373","2022-10-13 18:08:08","RVMAX0862000013","2022-10-13 21:10:57","2022-10-14 06:10:07",539,"OFF-E0122/00377,OFF-E0122/00378"
"Reciclado Elastictek","R00000000000001","20220916-01",749.0,"KG","E012210CHG00000352","2022-10-12 22:13:00","R00000000000001","2022-10-13 16:57:51","2022-10-14 06:45:55",828,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50125",650.0,"KG","E012210CHG00000351","2022-10-12 22:12:17","RVMAX0862000013","2022-10-13 06:23:39","2022-10-13 13:00:48",397,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50253",650.0,"KG","E012210CHG00000350","2022-10-12 22:12:09","RVMAX0862000013","2022-10-13 13:02:28","2022-10-13 21:10:28",488,"OFF-E0122/00377,OFF-E0122/00378"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22316110",900.0,"KG","E012210CHG00000349","2022-10-12 22:12:01","RSEBS0000000142","2022-10-13 15:27:24","2022-10-14 01:52:17",624,"OFF-E0122/00377,OFF-E0122/00378"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22316113",900.0,"KG","E012210CHG00000348","2022-10-12 22:11:53","RSEBS0000000142","2022-10-13 06:25:21","2022-10-13 15:27:05",541,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22041402AB50284",650.0,"KG","E012210CHG00000347","2022-10-12 21:24:13","RVMAX0863000012","2022-10-13 15:29:56","2022-10-14 17:54:10",1584,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50261",650.0,"KG","E012210CHG00000336","2022-10-12 18:15:45","RVMAX0862000013","2022-10-12 20:19:14","2022-10-13 06:23:16",604,"OFF-E0122/00377,OFF-E0122/00378"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313921",900.0,"KG","E012210CHG00000335","2022-10-12 18:07:38","RSEBS0000000142","2022-10-12 19:19:44","2022-10-13 06:23:25",663,"OFF-E0122/00377,OFF-E0122/00378"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568481",800.0,"KG","E012210CHG00000334","2022-10-12 14:07:36",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000333","2022-10-12 13:38:38","RPP620900000035","2022-10-13 21:53:23","2022-10-20 10:03:09",9369,"OFF-E0122/00377,OFF-E0122/00378"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",150.0,"KG","E012210CHG00000332","2022-10-12 13:25:00",NULL,NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",200.0,"KG","E012210CHG00000331","2022-10-12 13:23:15","RMWH00000000117","2022-10-13 19:19:30","2022-10-15 15:09:04",2629,"OFF-E0122/00377,OFF-E0122/00378"
"Reciclado Elastictek","R00000000000001","20220909-01",708.0,"KG","E012210CHG00000314","2022-10-11 22:43:02","R00000000000001","2022-10-12 15:06:05","2022-10-13 02:45:53",699,"OFF-E0122/00377,OFF-E0122/00378"
"Reciclado Elastictek","R00000000000001","20220910-01",701.0,"KG","E012210CHG00000313","2022-10-11 22:42:30","R00000000000001","2022-10-13 02:47:45","2022-10-13 16:57:04",849,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50231",650.0,"KG","E012210CHG00000310","2022-10-11 21:49:53","RVMAX0862000013","2022-10-12 08:20:56","2022-10-12 15:15:49",414,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB5024",650.0,"KG","E012210CHG00000309","2022-10-11 21:49:44","RVMAX0862000013","2022-10-12 15:16:03","2022-10-12 20:18:59",302,"OFF-E0122/00377,OFF-E0122/00378"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313910",900.0,"KG","E012210CHG00000308","2022-10-11 21:49:35","RSEBS0000000142","2022-10-12 12:57:54","2022-10-12 19:19:26",381,"OFF-E0122/00377,OFF-E0122/00378"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","22313923",900.0,"KG","E012210CHG00000307","2022-10-11 21:49:27","RSEBS0000000142","2022-10-12 04:18:46","2022-10-12 12:56:16",517,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB5023",650.0,"KG","E012210CHG00000304","2022-10-11 21:19:11","RVMAX0862000013","2022-10-11 22:52:28","2022-10-12 08:20:39",568,"OFF-E0122/00374,OFF-E0122/00373"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231399",500.0,"KG","E012210CHG00000303","2022-10-11 19:40:59","RSEBS0000000142","2022-10-11 23:40:20","2022-10-12 04:18:34",278,"OFF-E0122/00377,OFF-E0122/00378"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012210CHG00000292","2022-10-11 15:36:17","RAPPA0000000137","2022-10-13 19:50:37","2022-10-16 07:41:36",3590,"OFF-E0122/00377,OFF-E0122/00378"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012210CHG00000291","2022-10-11 15:36:00","RAAOX0000000138","2022-10-13 19:50:20","2022-10-16 07:41:28",3591,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB5051",650.0,"KG","E012210CHG00000290","2022-10-11 15:26:00","RVMAX0862000013","2022-10-11 16:36:51","2022-10-11 22:52:16",375,"OFF-E0122/00374,OFF-E0122/00373"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568481",900.0,"KG","E012210CHG00000287","2022-10-11 14:11:12","RSEBS0000000131","2022-10-11 16:22:39","2022-10-12 00:13:34",470,"OFF-E0122/00374,OFF-E0122/00373"
"Reciclado Elastictek","R00000000000001","20220910-02",735.0,"KG","E012210CHG00000283","2022-10-11 08:30:51","R00000000000001","2022-10-12 04:18:02","2022-10-12 15:05:37",647,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6202","RVMAX0863000012","VM620222012601AB50257",650.0,"KG","E012210CHG00000282","2022-10-11 08:09:07","RVMAX0863000012","2022-10-12 02:02:13","2022-10-13 15:29:34",2247,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50248",650.0,"KG","E012210CHG00000281","2022-10-10 22:13:53","RVMAX0862000013","2022-10-11 09:26:40","2022-10-11 16:36:37",429,"OFF-E0122/00374,OFF-E0122/00373"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB5063",650.0,"KG","E012210CHG00000280","2022-10-10 21:04:40","RVMAX0862000013","2022-10-11 01:41:38","2022-10-11 09:25:57",464,"OFF-E0122/00374,OFF-E0122/00373"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002571139",900.0,"KG","E012210CHG00000279","2022-10-10 21:03:54","RSEBS0000000131","2022-10-11 03:16:01","2022-10-11 16:22:25",786,"OFF-E0122/00374,OFF-E0122/00373"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012210CHG00000271","2022-10-10 16:36:08","RPP620900000035","2022-10-12 12:58:10","2022-10-13 21:51:34",1973,"OFF-E0122/00377,OFF-E0122/00378"
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",350.0,"KG","E012210CHG00000270","2022-10-10 16:33:20","RMWH00000000117","2022-10-12 03:22:31","2022-10-13 19:19:09",2396,"OFF-E0122/00377,OFF-E0122/00378"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21122502AB50150",650.0,"KG","E012210CHG00000260","2022-10-10 14:07:13","RVMAX0862000013","2022-10-10 17:02:48","2022-10-11 01:40:01",517,"OFF-E0122/00372,OFF-E0122/00371,OFF-E0122/00370,OFF-E0122/00369"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002571382",565.0,"KG","E012210CHG00000259","2022-10-10 11:35:16","RSEBS0000000131","2022-10-10 17:47:37","2022-10-11 03:15:49",568,"OFF-E0122/00372,OFF-E0122/00371,OFF-E0122/00370,OFF-E0122/00369"
"Reciclado Elastictek","R00000000000001","20220912-02",822.0,"KG","E012210CHG00000258","2022-10-09 21:21:27","R00000000000001","2022-10-10 17:51:21","2022-10-11 02:19:56",508,"OFF-E0122/00372,OFF-E0122/00371,OFF-E0122/00370,OFF-E0122/00369"
"Reciclado Elastictek","R00000000000001","20220911-01",785.0,"KG","E012210CHG00000257","2022-10-09 21:21:05","R00000000000001","2022-10-11 02:20:56","2022-10-12 04:17:48",1556,"OFF-E0122/00374,OFF-E0122/00373"
