"ofabrico_sgp","ofabrico","encomenda","prf","cliente","cliente_nome","encomenda_sgp","prf_sgp","cliente_cod_sgp","cliente_nome_sgp"
235,"OFF-E0121/00352","EEF-E012104/00149","PRF-E0121/00149","100466","Drylock Technologies Ltd","EEF-E012104/00149","PRF-E0121/00149",100466,"Drylock Technologies Ltd"
236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,"OFF-E0121/00349","EEF-E012102/00044","PRF-E0121/00044","100232","Abena Produktion A/S","EEF-E012102/00044","PRF-E0121/00044",100232,"ABENA"
239,"OFF-E0121/00359","EEF-E012101/00018","PRF-E0121/00018","100228","Société d'Articles Hygiéniques","EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
240,"OFF-E0121/00356",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,"OFF-E0121/00357","EEF-E012101/00018","PRF-E0121/00018","100228","Société d'Articles Hygiéniques","EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
242,"OFF-E0121/00358","EEF-E012101/00018","PRF-E0121/00018","100228","Société d'Articles Hygiéniques","EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
243,"OFF-E0121/00378","EEF-E012101/00012","PRF-E0121/00012","100479","Drylock Technologies sro","EEF-E012101/00012","PRF-E0121/00012",100479,"Drylock Technologies sro"
244,"OFF-E0121/00361","EEF-E012103/00096","PRF-E0121/00096","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00096","PRF-E0121/00096",100351,"NORSUDEX"
245,"OFF-E0121/00364","EEF-E012103/00097","PRF-E0121/00097","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00097","PRF-E0121/00097",100351,"NORSUDEX"
246,"OFF-E0121/00369","EEF-E012104/00127","PRF-E0121/00127","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012104/00127","PRF-E0121/00127",100351,"NORSUDEX"
247,"OFF-E0121/00375","EEF-E012103/00066","PRF-E0121/00066","100234","NOVATIS S.A.","EEF-E012103/00066","PRF-E0121/00066",100234,"Novatis"
250,"OFF-E0121/00366","EEF-E012104/00154","PRF-E0121/00154","100583","LAMATEM SARL ","EEF-E012104/00154","PRF-E0121/00154",100583,"LAMATEM SARL"
251,"OFF-E0121/00365","EEF-E012104/00154","PRF-E0121/00154","100583","LAMATEM SARL ","EEF-E012104/00154","PRF-E0121/00154",100583,"LAMATEM SARL"
252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,"OFF-E0121/00374","EEF-E012105/00162","PRF-E0121/00162","100269","CAN HYGIENE SPA","EEF-E012105/00162","PRF-E0121/00162",100269,"CAN HYGIENE"
254,"OFF-E0121/00371","EEF-E012104/00140","PRF-E0121/00140","100269","CAN HYGIENE SPA","EEF-E012103/00057","PRF-E0121/00057",100269,"CAN HYGIENE"
255,"OFF-E0121/00370","EEF-E012104/00142","PRF-E0121/00142","100269","CAN HYGIENE SPA","EEF-E012104/00142","PRF-E0121/00142",100269,"CAN HYGIENE"
256,"OFF-E0121/00385","EEF-E012101/00012","PRF-E0121/00012","100479","Drylock Technologies sro","EEF-E012101/00012","PRF-E0121/00012",100479,"Drylock Technologies sro"
257,"OFF-E0121/00377",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,"OFF-E0121/00372","EEF-E012101/00021","PRF-E0121/00021","100267","MEGA DISPOSABLES S.A.","EEF-E012101/00021","PRF-E0121/00021",100267,"MEGA DISPOSABLES S.A."
259,"OFF-E0121/00379",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
260,"OFF-E0121/00384","EEF-E012103/00112","PRF-E0121/00112","100267","MEGA DISPOSABLES S.A.","EEF-E012102/00048","PRF-E0121/00048",100267,"MEGA DISPOSABLES S.A."
261,"OFF-E0121/00393","EEF-E012104/00141","PRF-E0121/00141","100269","CAN HYGIENE SPA","EEF-E012104/00141","PRF-E0121/00141",100269,"CAN HYGIENE"
262,"OFF-E0121/00381","EEF-E012101/00012","PRF-E0121/00012","100479","Drylock Technologies sro","EEF-E012101/00012","PRF-E0121/00012",100479,"Drylock Technologies sro"
263,"OFF-E0121/00382","EEF-E012103/00117","PRF-E0121/00117","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012103/00117","PRF-E0121/00117",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
264,"OFF-E0121/00380","EEF-E012105/00158","PRF-E0121/00158","100243","PESQUISUAVE, LDA","EEF-E012105/00158","PRF-E0121/00158",100243,"PESQUISUAVE, LDA"
265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,"OFF-E0121/00399","EEF-E012104/00119","PRF-E0121/00119","100501","Napco Consumer Products Co., ","EEF-E012104/00119","PRF-E0121/00119",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
269,"OFF-E0121/00396",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,"OFF-E0121/00393","EEF-E012104/00141","PRF-E0121/00141","100269","CAN HYGIENE SPA","EEF-E012104/00141","PRF-E0121/00141",100269,"CAN HYGIENE"
271,"OFF-E0121/00397",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,"OFF-E0121/00386","EEF-E012101/00018","PRF-E0121/00018","100228","Société d'Articles Hygiéniques","EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
274,"OFF-E0121/00386"," ",NULL,NULL,NULL,"EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
275,"OFF-E0121/00398","EEF-E012103/00112","PRF-E0121/00112","100267","MEGA DISPOSABLES S.A.","EEF-E012103/00112","PRF-E0121/00112",100267,"MEGA DISPOSABLES S.A."
276,"OFF-E0121/00388","EEF-E012103/00115","PRF-E0121/00115","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012103/00115","PRF-E0121/00115",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
277,"OFF-E0121/00387","EEF-E012103/00117","PRF-E0121/00117","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012103/00117","PRF-E0121/00117",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
278,"OFF-E0121/00387","EEF-E012104/00123","PRF-E0121/00123","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00123","PRF-E0121/00123",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
279,"OFF-E0121/00401","EEF-E012106/00187","PRF-E0121/00187","100228","Société d'Articles Hygiéniques","EEF-E012106/00187","PRF-E0121/00187",100228,"SAH"
280,"OFF-E0121/00396",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,"OFF-E0121/00390","EEF-E012104/00139","PRF-E0121/00139","100269","CAN HYGIENE SPA","EEF-E012104/00139","PRF-E0121/00139",100269,"CAN HYGIENE"
282,"OFF-E0121/00403","EEF-E012103/00066","PRF-E0121/00066","100234","NOVATIS S.A.","EEF-E012103/00066","PRF-E0121/00066",100234,"Novatis"
283,"OFF-E0121/00391","EEF-E012104/00139","PRF-E0121/00139","100269","CAN HYGIENE SPA","EEF-E012104/00139","PRF-E0121/00139",100269,"CAN HYGIENE"
284,"OFF-E0121/00392","EEF-E012104/00140","PRF-E0121/00140","100269","CAN HYGIENE SPA","EEF-E012104/00140","PRF-E0121/00140",100269,"CAN HYGIENE"
285,"OFF-E0121/00393","EEF-E012104/00141","PRF-E0121/00141","100269","CAN HYGIENE SPA","EEF-E012104/00141","PRF-E0121/00141",100269,"CAN HYGIENE"
287,"OFF-E0121/00394","EEF-E012103/00064","PRF-E0121/00064","100234","NOVATIS S.A.","EEF-E012103/00064","PRF-E0121/00064",100234,"Novatis"
288,"OFF-E0121/00394","EEF-E012103/00065","PRF-E0121/00065","100234","NOVATIS S.A.","EEF-E012103/00065","PRF-E0121/00065",100234,"Novatis"
289,"OFF-E0121/00395","EEF-E012104/00125","PRF-E0121/00125","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012104/00125","PRF-E0121/00125",100351,"NORSUDEX"
290,"OFF-E0121/00395","EEF-E012104/00128","PRF-E0121/00128","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012104/00126","PRF-E0121/00126",100351,"NORSUDEX"
291,"OFF-E0121/00405","EEF-E012105/00159"," ","100524","Bravery Ovation Lda ","EEF-E012105/00159","PRF-E0121/00159",100524,"Bravery Ovation Lda"
292,"OFF-E0121/00406","EEF-E012105/00159"," ","100524","Bravery Ovation Lda ","EEF-E012105/00159","PRF-E0121/00159",100524,"Bravery Ovation Lda"
293,"OFF-E0121/00415","EEF-E012106/00176","PRF-E0121/00176","100269","CAN HYGIENE SPA","EEF-E012106/00176","PRF-E0121/00176",100269,"CAN HYGIENE"
294,"OFF-E0121/00411","EEF-E012103/00066","PRF-E0121/00066","100234","NOVATIS S.A.","EEF-E012103/00066","PRF-E0121/00066",100234,"Novatis"
296,"OFF-E0121/00408","EEF-E012105/00159"," ","100524","Bravery Ovation Lda ","EEF-E012105/00159","PRF-E0121/00159",100524,"Bravery Ovation Lda"
297,"OFF-E0121/00407","EEF-E012105/00159"," ","100524","Bravery Ovation Lda ","EEF-E012105/00159","PRF-E0121/00159",100524,"Bravery Ovation Lda"
300,"OFF-E0121/00413","EEF-E012105/00163","PRF-E0121/00163","100269","CAN HYGIENE SPA","EEF-E012105/00163","PRF-E0121/00163",100269,"CAN HYGIENE"
301,"OFF-E0121/00417",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
302,"OFF-E0121/00416",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,"OFF-E0121/00410",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,"OFF-E0121/00409","EEF-E012104/00119","PRF-E0121/00119","100501","Napco Consumer Products Co., ","EEF-E012104/00119","PRF-E0121/00119",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
305,"OFF-E0121/00409"," ",NULL,NULL,NULL,"EEF-E012104/00119","PRF-E0121/00119",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
306,"OFF-E0121/00409","EEF-E012104/00122","PRF-E0121/00122","100469","NAPCO RIYADH PAPER PRODUCTS CO.","EEF-E012104/00122","PRF-E0121/00122",100469,"NAPCO RIYADH PAPER PRODUCTS CO., branch of NAPCO NATIONAL COMPANY"
307,"OFF-E0121/00409"," ",NULL,NULL,NULL,"EEF-E012104/00119","PRF-E0121/00119",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
308,"OFF-E0121/00418",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
309,"OFF-E0121/00431","EEF-E012103/00068","PRF-E0121/00068","100234","NOVATIS S.A.","EEF-E012103/00068","PRF-E0121/00068",100234,"Novatis"
310,"OFF-E0121/00419","EEF-E012104/00129","PRF-E0121/00129","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012104/00129","PRF-E0121/00129",100351,"NORSUDEX"
312,"OFF-E0121/00419","EEF-E012104/00128","PRF-E0121/00128","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012104/00128","PRF-E0121/00128",100351,"NORSUDEX"
313,"OFF-E0121/00420","EEF-E012103/00066","PRF-E0121/00066","100234","NOVATIS S.A.","EEF-E012103/00066","PRF-E0121/00066",100234,"Novatis"
314,"OFF-E0121/00420","EEF-E012103/00067","PRF-E0121/00067","100234","NOVATIS S.A.","EEF-E012103/00067","PRF-E0121/00067",100234,"Novatis"
315,"OFF-E0121/00485",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,"OFF-E0121/00424","EEF-E012105/00160","PRF-E0121/00160","100303","MEDIANE SARL","EEF-E012105/00160","PRF-E0121/00160",100303,"MEDIANE"
318,"OFF-E0121/00424","EEF-E012105/00161","PRF-E0121/00161","100303","MEDIANE SARL","EEF-E012105/00161","PRF-E0121/00161",100303,"MEDIANE"
319,"OFF-E0121/00423","EEF-E012103/00110","PRF-E0121/00110","100267","MEGA DISPOSABLES S.A.","EEF-E012103/00110","PRF-E0121/00110",100267,"MEGA DISPOSABLES S.A."
320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,"OFF-E0121/00434","EEF-E012104/00124","PRF-E0121/00124","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00124","PRF-E0121/00124",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
324,"OFF-E0121/00433","EEF-E012103/00116","PRF-E0121/00116","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012103/00116","PRF-E0121/00116",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
327,"OFF-E0121/00427","EEF-E012104/00148","PRF-E0121/00148","100428","Sanita S.A.L. ","EEF-E012104/00148","PRF-E0121/00148",100428,"Sanita S.A.L."
328,"OFF-E0121/00426",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,"OFF-E0121/00425","EEF-E012106/00181","PRF-E0121/00181","100269","CAN HYGIENE SPA","EEF-E012106/00181","PRF-E0121/00181",100269,"CAN HYGIENE"
331,"OFF-E0121/00428","EEF-E012104/00124","PRF-E0121/00124","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00146","PRF-E0121/00146",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
332,"OFF-E0121/00440","EEF-E012105/00171","PRF-E0121/00171","100261","EURL EL GHAZOU","EEF-E012105/00171","PRF-E0121/00171",100261,"EURL EL GHAZOU"
333,"OFF-E0121/00436","EEF-E012105/00171","PRF-E0121/00171","100261","EURL EL GHAZOU","EEF-E012105/00171","PRF-E0121/00171",100261,"EURL EL GHAZOU"
334,"OFF-E0121/00441","EEF-E012105/00171","PRF-E0121/00171","100261","EURL EL GHAZOU","EEF-E012105/00171","PRF-E0121/00171",100261,"EURL EL GHAZOU"
335,"OFF-E0121/00435","EEF-E012104/00148","PRF-E0121/00148","100428","Sanita S.A.L. ","EEF-E012104/00148","PRF-E0121/00148",100428,"Sanita S.A.L."
336,"OFF-E0121/00442","EEF-E012104/00152","PRF-E0121/00152","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00152","PRF-E0121/00152",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
337,"OFF-E0121/00439","EEF-E012105/00170","PRF-E0121/00170","100338","Pozzani Disposables S.p.A.","EEF-E012105/00170","PRF-E0121/00170",100338,"Pozzani Disposables S.p.A."
338,"OFF-E0121/00446",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,"OFF-E0121/00448",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
342,"OFF-E0121/00443","EEF-E012103/00068","PRF-E0121/00068","100234","NOVATIS S.A.","EEF-E012103/00068","PRF-E0121/00068",100234,"Novatis"
343,"OFF-E0121/00443","EEF-E012103/00069","PRF-E0121/00069","100234","NOVATIS S.A.","EEF-E012103/00069","PRF-E0121/00069",100234,"Novatis"
345,"OFF-E0121/00444","EEF-E012104/00129","PRF-E0121/00129","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012104/00129","PRF-E0121/00129",100351,"NORSUDEX"
346,"OFF-E0121/00444","EEF-E012104/00130","PRF-E0121/00130","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012104/00130","PRF-E0121/00130",100351,"NORSUDEX"
347,"OFF-E0121/00468","EEF-E012104/00155","PRF-E0121/00155","100241","SANCELLA TUNISIE","EEF-E012104/00155","PRF-E0121/00155",100241,"SANCELLA SA"
348,"OFF-E0121/00453","EEF-E012104/00149","PRF-E0121/00149","100466","Drylock Technologies Ltd","EEF-E012104/00149","PRF-E0121/00149",100466,"Drylock Technologies Ltd"
349,"OFF-E0121/00447","EEF-E012105/00163","PRF-E0121/00163","100269","CAN HYGIENE SPA","EEF-E012105/00163","PRF-E0121/00163",100269,"CAN HYGIENE"
350,"OFF-E0121/00466","EEF-E012106/00176","PRF-E0121/00176","100269","CAN HYGIENE SPA","EEF-E012106/00176","PRF-E0121/00176",100269,"CAN HYGIENE"
353,"OFF-E0121/00469","EEF-E012106/00178","PRF-E0121/00178","100269","CAN HYGIENE SPA","EEF-E012106/00178","PRF-E0121/00178",100269,"CAN HYGIENE"
355,"OFF-E0121/00455","EEF-E012104/00156","PRF-E0121/00156","100501","Napco Consumer Products Co., ","EEF-E012104/00156","PRF-E0121/00156",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
356,"OFF-E0121/00458","EEF-E012106/00174","PRF-E0121/00174","100243","PESQUISUAVE, LDA","EEF-E012106/00174","PRF-E0121/00174",100243,"PESQUISUAVE, LDA"
357,"OFF-E0121/00540","EEF-E012107/00200","PRF-E0121/00200","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012107/00200","PRF-E0121/00200",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
358,"OFF-E0121/00541","EEF-E012107/00200","PRF-E0121/00200","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012107/00200","PRF-E0121/00200",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
359,"OFF-E0121/00456","EEF-E012104/00153","PRF-E0121/00153","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00153","PRF-E0121/00153",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
360,"OFF-E0121/00488","EEF-E012111/00301","PRF-E0121/00301","100303","MEDIANE SARL","EEF-E012111/00301","PRF-E0121/00301",100303,"MEDIANE"
361,"OFF-E0121/00461","EEF-E012105/00162","PRF-E0121/00162","100269","CAN HYGIENE SPA","EEF-E012105/00162","PRF-E0121/00162",100269,"CAN HYGIENE"
362,"OFF-E0121/00460","EEF-E012105/00163","PRF-E0121/00163","100269","CAN HYGIENE SPA","EEF-E012105/00163","PRF-E0121/00163",100269,"CAN HYGIENE"
363,"OFF-E0121/00463","EEF-E012104/00153","PRF-E0121/00153","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00153","PRF-E0121/00153",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
364,"OFF-E0121/00463","EEF-E012104/00143","PRF-E0121/00143","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00143","PRF-E0121/00143",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
366,"OFF-E0121/00462","EEF-E012104/00146","PRF-E0121/00146","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00146","PRF-E0121/00146",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
367,"OFF-E0121/00464","EEF-E012105/00165","PRF-E0121/00165","100269","CAN HYGIENE SPA","EEF-E012105/00165","PRF-E0121/00165",100269,"CAN HYGIENE"
368,"OFF-E0121/00465","EEF-E012105/00164","PRF-E0121/00164","100269","CAN HYGIENE SPA","EEF-E012105/00164","PRF-E0121/00164",100269,"CAN HYGIENE"
369,"OFF-E0121/00467","EEF-E012103/00098","PRF-E0121/00098","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00098","PRF-E0121/00098",100351,"NORSUDEX"
372,"OFF-E0121/00463","EEF-E012104/00144","PRF-E0121/00144","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00144","PRF-E0121/00144",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
374,"OFF-E0121/00470","EEF-E012104/00149","PRF-E0121/00149","100466","Drylock Technologies Ltd","EEF-E012104/00149","PRF-E0121/00149",100466,"Drylock Technologies Ltd"
375,"OFF-E0121/00473","EEF-E012106/00175","PRF-E0121/00175","100483","NANO S.A.R.L.","EEF-E012106/00175","PRF-E0121/00175",100483,"NANO"
376,"OFF-E0121/00472","EEF-E012104/00145","PRF-E0121/00145","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00145","PRF-E0121/00145",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
377,"OFF-E0121/00471","EEF-E012104/00147","PRF-E0121/00147","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012104/00147","PRF-E0121/00147",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
379,"OFF-E0121/00476","EEF-E012104/00155","PRF-E0121/00155","100241","SANCELLA TUNISIE","EEF-E012104/00155","PRF-E0121/00155",100241,"SANCELLA SA"
380,"OFF-E0121/00477","EEF-E012103/00098","PRF-E0121/00098","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00098","PRF-E0121/00098",100351,"NORSUDEX"
381,"OFF-E0121/00477","EEF-E012103/00099","PRF-E0121/00099","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00099","PRF-E0121/00099",100351,"NORSUDEX"
382,"OFF-E0121/00477","EEF-E012103/00100","PRF-E0121/00100","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00100","PRF-E0121/00100",100351,"NORSUDEX"
383,"OFF-E0121/00477",NULL,NULL,NULL,NULL,"EEF-E012103/00101","PRF-E0121/00101",100351,"NORSUDEX"
384,"OFF-E0121/00477",NULL,NULL,NULL,NULL,"EEF-E012103/00102","PRF-E0121/00102",100351,"NORSUDEX"
385,"OFF-E0121/00477",NULL,NULL,NULL,NULL,"EEF-E012103/00103","PRF-E0121/00103",100351,"NORSUDEX"
387,"OFF-E0121/00475","EEF-E012106/00187","PRF-E0121/00187","100228","Société d'Articles Hygiéniques","EEF-E012106/00187","PRF-E0121/00187",100228,"SAH"
388,"OFF-E0121/00474","EEF-E012106/00187","PRF-E0121/00187","100228","Société d'Articles Hygiéniques","EEF-E012106/00187","PRF-E0121/00187",100228,"SAH"
389,"OFF-E0121/00489","EEF-E012103/00111","PRF-E0121/00111","100267","MEGA DISPOSABLES S.A.","EEF-E012103/00111","PRF-E0121/00111",100267,"MEGA DISPOSABLES S.A."
390,"OFF-E0121/00495","EEF-E012105/00168","PRF-E0121/00168","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012105/00168","PRF-E0121/00168",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
391,"OFF-E0121/00482","EEF-E012105/00169","PRF-E0121/00169","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012105/00169","PRF-E0121/00169",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
392,"OFF-E0121/00491","EEF-E012106/00181","PRF-E0121/00181","100269","CAN HYGIENE SPA","EEF-E012106/00181","PRF-E0121/00181",100269,"CAN HYGIENE"
393,"OFF-E0121/00493","EEF-E012106/00180","PRF-E0121/00180","100269","CAN HYGIENE SPA","EEF-E012106/00180","PRF-E0121/00180",100269,"CAN HYGIENE"
395,"OFF-E0121/00490","EEF-E012106/00178","PRF-E0121/00178","100269","CAN HYGIENE SPA","EEF-E012106/00178","PRF-E0121/00178",100269,"CAN HYGIENE"
396,"OFF-E0121/00479","EEF-E012105/00173","PRF-E0121/00173","100501","Napco Consumer Products Co., ","EEF-E012105/00173","PRF-E0121/00173",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
398,"OFF-E0121/00487",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
399,"OFF-E0121/00486",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
400,"OFF-E0121/00499",NULL,NULL,NULL,NULL,"EEF-E012107/00202","PRF-E0121/00202",100576,"Intigena Produktion GmbH & Co. KG"
401,"OFF-E0121/00478","EEF-E012106/00190","PRF-E0121/00190","100476","FAS SOCIETA' PER AZIONI","EEF-E012106/00190","PRF-E0121/00190",100476,"FAS SOCIETA' PER AZIONI"
402,"OFF-E0121/00515","EEF-E012107/00197","PRF-E0121/00197","100228","Société d'Articles Hygiéniques","EEF-E012107/00197","PRF-E0121/00197",100228,"SAH"
404,"OFF-E0121/00483","EEF-E012106/00188"," ","100428","Sanita S.A.L. ","EEF-E012106/00188","PRF-E0121/00188",100428,"Sanita S.A.L."
406,"OFF-E0121/00489","EEF-E012103/00111","PRF-E0121/00111","100267","MEGA DISPOSABLES S.A.","EEF-E012103/00111","PRF-E0121/00111",100267,"MEGA DISPOSABLES S.A."
407,"OFF-E0121/00505",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
408,"OFF-E0121/00504",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
409,"OFF-E0121/00503","EEF-E012106/00188"," ","100428","Sanita S.A.L. ","EEF-E012106/00188","PRF-E0121/00188",100428,"Sanita S.A.L."
411,"OFF-E0121/00511","EEF-E012106/00176","PRF-E0121/00176","100269","CAN HYGIENE SPA","EEF-E012106/00176","PRF-E0121/00176",100269,"CAN HYGIENE"
412,"OFF-E0121/00511","EEF-E012106/00177","PRF-E0121/00177","100269","CAN HYGIENE SPA","EEF-E012106/00177","PRF-E0121/00177",100269,"CAN HYGIENE"
413,"OFF-E0121/00510","EEF-E012106/00178","PRF-E0121/00178","100269","CAN HYGIENE SPA","EEF-E012106/00178","PRF-E0121/00178",100269,"CAN HYGIENE"
414,"OFF-E0121/00510","EEF-E012106/00179","PRF-E0121/00179","100269","CAN HYGIENE SPA","EEF-E012106/00179","PRF-E0121/00179",100269,"CAN HYGIENE"
415,"OFF-E0121/00513","EEF-E012106/00180","PRF-E0121/00180","100269","CAN HYGIENE SPA","EEF-E012106/00180","PRF-E0121/00180",100269,"CAN HYGIENE"
416,"OFF-E0121/00512","EEF-E012106/00181","PRF-E0121/00181","100269","CAN HYGIENE SPA","EEF-E012106/00181","PRF-E0121/00181",100269,"CAN HYGIENE"
418,"OFF-E0121/00518","EEF-E012106/00188"," ","100428","Sanita S.A.L. ","EEF-E012106/00188","PRF-E0121/00188",100428,"Sanita S.A.L."
419,"OFF-E0121/00519","EEF-E012106/00191","PRF-E0121/00191","100232","Abena Produktion A/S","EEF-E012106/00191","PRF-E0121/00191",100232,"ABENA"
420,"OFF-E0121/00514","EEF-E012105/00172","PRF-E0121/00172","100466","Drylock Technologies Ltd","EEF-E012105/00172","PRF-E0121/00172",100466,"Drylock Technologies Ltd"
421,"OFF-E0121/00522","EEF-E012105/00169","PRF-E0121/00169","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012105/00169","PRF-E0121/00169",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
422,"OFF-E0121/00523","EEF-E012105/00168","PRF-E0121/00168","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012105/00168","PRF-E0121/00168",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
423,"OFF-E0121/00521","EEF-E012106/00188"," ","100428","Sanita S.A.L. ","EEF-E012106/00188","PRF-E0121/00188",100428,"Sanita S.A.L."
424,"OFF-E0121/00520",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
428,"OFF-E0121/00527","EEF-E012103/00111","PRF-E0121/00111","100267","MEGA DISPOSABLES S.A.","EEF-E012103/00111","PRF-E0121/00111",100267,"MEGA DISPOSABLES S.A."
429,"OFF-E0121/00526","EEF-E012103/00112","PRF-E0121/00112","100267","MEGA DISPOSABLES S.A.","EEF-E012103/00112","PRF-E0121/00112",100267,"MEGA DISPOSABLES S.A."
